Rank k,PSNR (dB),SSIM,Energy Retention
5,16.188743728023937,0.4129109407620782,0.9149199088709936
20,22.121916436768622,0.5682482633125414,0.9782974544938458
50,27.349691525644516,0.7474454717499426,0.9934877184770263
100,32.885706396040696,0.894991333766537,0.9981797473180951
150,37.32683277741126,0.9506476866516218,0.9993453351230501
200,41.42234791420819,0.9759940297909108,0.9997450426551053
